Symbol;Last;Sector;Yield;Score
A;87.26;Healthcare;0.83;84
AAN;44.12;Consumer Discretionary;0.36;99
AAP;142.91;Consumer Discretionary;0.7;89
AAPL;364.84;Information Technology;0.9;99
ABC;100.67;Healthcare;1.67;88
ABM;35.73;Industrials;2.07;61
ABT;89.62;Healthcare;1.61;71
ACN;217.32;Information Technology;1.47;92
ADC;65.62;Real Estate;3.66;61
ADI;120.1;Information Technology;2.06;63
ADM;39.95;Consumer Staples;3.6;94
ADP;147.45;Information Technology;2.47;97
AEE;68.81;Utilities;2.88;69
AEL;23.32;Financials;1.29;92
AEP;79.3;Utilities;3.53;81
AFG;61.92;Financials;2.91;82
AFL;35.83;Financials;3.13;99
AGCO;54.04;Industrials;1.18;63
AIT;59.91;Industrials;2.14;66
AIZ;100.3;Financials;2.51;61
AJG;97.28;Financials;1.85;85
ALB;73.95;Materials;2.08;99
ALE;53;Utilities;4.66;75
ALL;95.83;Financials;2.25;80
ALLE;98;Industrials;1.31;61
AMAT;59.98;Information Technology;1.47;86
AMGN;235.11;Healthcare;2.72;74
AMH;27.35;Real Estate;0.73;73
AMP;151.55;Financials;2.74;90
AMT;254.36;Real Estate;1.73;78
AMTD;36.75;Financials;3.37;92
ANTM;261;Healthcare;1.46;99
AOS;44.74;Industrials;2.15;99
APD;237.3;Materials;2.26;95
APH;95.2;Information Technology;1.05;87
ARE;166.6;Real Estate;2.55;76
AROW;28.36;Financials;3.67;84
ARTNA;35.2;Utilities;2.84;78
ASML;366.55;Information Technology;0.61;82
ATO;97.07;Utilities;2.37;97
ATR;107.6;Materials;1.34;97
ATRI;661.9;Healthcare;0.94;81
ATVI;76.21;Communications;0.54;99
AUBN;63.4;Financials;1.61;82
AVA;35.07;Utilities;4.62;65
AVB;153.37;Real Estate;4.15;98
AVGO;308.85;Information Technology;4.21;67
AVY;111.37;Materials;2.08;61
AWK;122.22;Utilities;1.8;70
AWR;75.67;Utilities;1.61;98
AXP;97.85;Financials;1.76;80
AYI;86.82;Industrials;0.6;93
BAH;77.53;Information Technology;1.6;62
BANF;38.89;Financials;3.29;99
BAX;85.33;Healthcare;1.15;82
BCO;43.93;Industrials;1.37;88
BCPC;91.24;Materials;0.57;92
BDN;10.83;Real Estate;7.02;61
BDX;228.94;Healthcare;1.38;91
BEN;21.08;Financials;5.12;70
BF.B;63.34;Consumer Staples;1.1;99
BHB;23.9;Financials;3.68;82
BIP;41.49;Utilities;4.68;65
BKH;53.69;Utilities;3.99;77
BLK;546.97;Financials;2.65;98
BLL;69.2;Materials;0.87;81
BMI;60.99;Information Technology;1.11;94
BMO;54.02;Financials;5.7;70
BMRC;32.09;Financials;2.87;75
BMTC;26.83;Financials;3.88;89
BMY;58.18;Healthcare;3.09;79
BNS;41.1;Financials;6.35;70
BOH;61.5;Financials;4.36;74
BR;124.79;Information Technology;1.73;75
BRC;45.73;Industrials;1.9;99
BRO;41;Financials;0.83;99
BXP;90.05;Real Estate;4.35;62
CAH;51.87;Healthcare;3.75;74
CASH;17.39;Financials;1.15;65
CASS;38.23;Information Technology;2.83;99
CASY;146.62;Consumer Staples;0.87;91
CAT;124.71;Industrials;3.3;93
CB;128.56;Financials;2.43;99
CBOE;95.09;Financials;1.51;91
CBSH;59.42;Financials;1.74;99
CBT;36.39;Materials;3.85;71
CBU;55.13;Financials;2.97;83
CCI;164.72;Real Estate;2.91;61
CE;85.1;Materials;2.91;77
CFR;73.89;Financials;3.84;70
CGNX;61.34;Information Technology;0.36;87
CHCO;62.71;Financials;3.64;71
CHD;76.74;Consumer Staples;1.25;99
CHDN;133.95;Consumer Discretionary;0.43;93
CHRW;77.32;Industrials;2.64;92
CI;185.48;Healthcare;0.02;79
CINF;63.74;Financials;3.77;71
CL;72.64;Consumer Staples;2.42;90
CLX;214.92;Consumer Staples;2.07;75
CM;68.15;Financials;6.23;65
CMCSA;38.57;Communications;2.39;89
CME;168.69;Financials;2.02;96
CMI;169.71;Industrials;3.09;98
CNI;87.12;Industrials;1.88;97
COG;17.17;Energy;2.33;78
COKE;231.99;Consumer Staples;0.43;75
CONE;76.27;Real Estate;2.62;63
COO;276.61;Healthcare;0.02;97
COP;42.06;Energy;3.99;61
COST;300.53;Consumer Staples;0.93;99
CP;250.65;Industrials;0.94;76
CPK;86.42;Utilities;2.04;61
CPT;89.71;Real Estate;3.7;80
CR;55.86;Industrials;3.08;96
CSCO;45.22;Information Technology;3.18;91
CSL;114.06;Industrials;1.75;99
CSVI;53.1;Information Technology;1.58;65
CSX;68.22;Industrials;1.52;85
CTAS;262.57;Industrials;0.97;97
CTBI;31.99;Financials;4.75;92
CTRE;17.55;Real Estate;5.7;61
CTSH;55.59;Information Technology;1.58;95
CUBE;26.96;Real Estate;4.9;61
CUZ;30.2;Real Estate;3.97;68
CVBF;18.14;Financials;3.97;71
CVGW;61.17;Consumer Staples;1.8;94
CVS;64.02;Healthcare;3.12;67
CVX;89.21;Energy;5.78;65
CWCO;14.36;Utilities;2.37;65
CWT;45.38;Utilities;1.87;99
D;81.14;Utilities;4.63;75
DCI;44.16;Industrials;1.9;94
DE;154.45;Industrials;1.97;83
DEI;30.76;Real Estate;3.64;61
DEO;135.59;Consumer Staples;2.53;99
DG;190.67;Consumer Discretionary;0.76;64
DHI;54.11;Consumer Discretionary;1.29;85
DHR;172.15;Healthcare;0.42;73
DLB;66.23;Information Technology;1.33;97
DLR;143.07;Real Estate;3.13;94
DOV;92.29;Industrials;2.12;89
DOX;60.91;Information Technology;2.15;90
DTE;104.92;Utilities;3.86;85
DUK;79.45;Utilities;4.76;80
EBF;16.88;Industrials;5.33;61
ECL;196.03;Materials;0.96;98
ED;70.62;Utilities;4.33;90
EFSI;26.5;Financials;3.92;61
EFX;167.94;Industrials;0.93;82
EGP;117.06;Real Estate;2.56;73
EIG;29.36;Financials;3.41;67
ELS;63.27;Real Estate;2.17;86
EMN;67.72;Materials;3.9;85
EMR;60.35;Industrials;3.31;78
EOG;50.73;Energy;2.96;82
EPD;18.12;Energy;9.82;65
EQIX;696.84;Real Estate;1.53;86
EQR;58.4;Real Estate;4.13;61
ERIC;9.51;Information Technology;0.5;70
ERIE;188.17;Financials;2.05;61
ES;82.36;Utilities;2.76;88
ESE;80.3;Industrials;0.4;76
ESS;229.26;Real Estate;3.62;93
ETN;85.47;Industrials;3.42;85
ETR;92.36;Utilities;4.03;77
EV;39.09;Financials;3.84;72
EVR;58.63;Financials;3.96;61
EVRG;58.98;Utilities;3.42;87
EXC;35.42;Utilities;4.32;61
EXPD;72.99;Industrials;1.42;99
EXPO;77.47;Industrials;0.98;61
EXR;91.79;Real Estate;3.92;66
FAF;48.08;Financials;3.66;81
FAST;41.67;Industrials;2.4;81
FBHS;61.65;Industrials;1.56;61
FBIZ;15.78;Financials;4.18;67
FDS;342.16;Financials;0.9;95
FDX;136.11;Industrials;1.91;64
FELE;49.99;Industrials;1.24;98
FHI;23.44;Financials;4.61;77
FIS;133.28;Information Technology;1.05;77
FLIC;16.11;Financials;4.47;70
FLIR;39.8;Information Technology;1.71;93
FLO;22.32;Consumer Staples;3.58;62
FMC;99.1;Materials;1.78;70
FMCB;705.19;Financials;2.06;81
FMNB;11.45;Financials;3.84;61
FRC;108.18;Financials;0.74;66
FRME;26.64;Financials;3.9;61
FTS;37.69;Utilities;3.82;62
FTV;67.66;Industrials;0.41;87
GABC;29.96;Financials;2.54;89
GBCI;34.83;Financials;3.33;88
GD;146.96;Industrials;2.99;97
GGG;46.9;Industrials;1.49;99
GILD;75.49;Healthcare;3.6;83
GIS;60.33;Consumer Staples;3.25;69
GL;72.66;Financials;1.03;92
GLW;25.81;Information Technology;3.41;77
GNTX;25.68;Consumer Discretionary;1.87;99
GPC;85.06;Consumer Discretionary;3.72;72
GRC;29.44;Industrials;1.97;92
GRMN;96.23;Consumer Discretionary;2.54;79
GWW;295.95;Industrials;1.95;99
HCSG;24.14;Industrials;3.36;78
HD;245.38;Consumer Discretionary;2.45;87
HDB;45.65;Financials;0.69;99
HE;35.43;Utilities;3.73;78
HEI;99.17;Industrials;0.16;99
HFC;29.64;Energy;4.72;73
HIG;38.36;Financials;3.39;66
HII;172.11;Industrials;2.39;68
HIW;37.53;Real Estate;5.12;64
HOMB;15.18;Financials;3.43;61
HON;142.46;Industrials;2.53;99
HPQ;16.37;Information Technology;4.31;74
HRC;105.6;Healthcare;0.83;61
HRL;48.67;Consumer Staples;1.91;99
HSY;128.67;Consumer Staples;2.4;93
HTLF;31.64;Financials;2.53;96
HUBB;119.95;Industrials;3.03;83
HUM;376.13;Healthcare;0.66;99
HWC;21.215;Financials;5.09;95
IBKC;46.9;Financials;4.01;95
IBKR;41.96;Financials;0.95;87
IBM;119.03;Information Technology;5.48;65
ICE;92.83;Financials;1.29;89
IDA;85.75;Utilities;3.13;84
IEX;152.19;Industrials;1.31;95
IFF;122.4;Materials;2.45;62
IMKTA;40.83;Consumer Staples;1.62;78
IMO;15.74;Energy;3.98;73
INDB;64.5;Financials;2.85;92
INFY;9.29;Information Technology;2.21;87
INGR;81.72;Consumer Staples;3.08;99
INTC;58.51;Information Technology;2.26;96
INTU;288.75;Information Technology;0.73;98
ITT;57.21;Industrials;1.18;94
ITW;170.96;Industrials;2.5;81
JBHT;118.39;Industrials;0.91;89
JBL;31.65;Information Technology;1.01;77
JKHY;180.25;Information Technology;0.95;99
JNJ;139.67;Healthcare;2.89;99
JNPR;22.26;Information Technology;3.59;77
JW.A;38.98;Communications;3.49;83
JW.B;38.73;Communications;3.51;83
K;65.51;Consumer Staples;3.48;66
KAMN;39.04;Industrials;2.05;91
KLAC;192.35;Information Technology;1.77;71
KMB;138.79;Consumer Staples;3.08;88
KMI;14.96;Energy;7.02;61
KO;44.93;Consumer Staples;3.65;80
KR;32.78;Consumer Staples;1.95;71
KSU;147.28;Industrials;1.09;61
L;33.84;Financials;0.74;97
LANC;151.83;Consumer Staples;1.84;95
LDOS;92.72;Information Technology;1.47;61
LECO;80.71;Industrials;2.43;98
LEN;59.76;Consumer Discretionary;0.84;61
LHX;170.79;Industrials;1.99;80
LII;225.26;Industrials;1.37;90
LIN;209.14;Materials;1.84;99
LKFN;44.76;Financials;2.68;93
LLY;162.86;Healthcare;1.82;96
LM;49.65;Financials;3.22;65
LMT;362.82;Industrials;2.65;84
LNN;87.77;Industrials;1.46;61
LNT;46.77;Utilities;3.25;63
LOGI;62.88;Information Technology;0.77;79
LOW;131.77;Consumer Discretionary;1.67;93
LRCX;312.6;Information Technology;1.47;66
LSTR;109.88;Industrials;0.67;87
LW;63.86;Consumer Staples;1.44;67
MA;298.01;Information Technology;0.54;99
MAA;111.35;Real Estate;3.59;97
MAIN;31.36;Financials;7.84;62
MANT;66.03;Information Technology;1.94;68
MAS;48.7;Industrials;1.11;63
MATW;17.87;Industrials;4.7;74
MCD;182.76;Consumer Discretionary;2.74;77
MCK;151.29;Healthcare;1.08;88
MCO;276.17;Financials;0.81;83
MDLZ;50.83;Consumer Staples;2.24;66
MDT;88.86;Healthcare;2.61;99
MDU;21.44;Utilities;3.87;92
MEI;31;Information Technology;1.42;97
MET;36.34;Financials;5.06;79
MGEE;62.56;Utilities;2.25;84
MGRC;52.61;Industrials;3.19;85
MKC;178.54;Consumer Staples;1.39;80
MKSI;114.01;Information Technology;0.7;75
MKTX;507.36;Financials;0.47;85
MLM;205.83;Materials;1.07;70
MMC;106.98;Financials;1.7;63
MMM;154.67;Industrials;3.8;75
MMP;42.68;Energy;9.63;61
MNR;13.88;Real Estate;4.9;61
MORN;143.89;Financials;0.83;93
MRK;76.57;Healthcare;3.19;99
MSA;107.57;Industrials;1.6;99
MSCI;342.17;Financials;0.79;61
MSEX;63.76;Utilities;1.61;91
MSFT;200.34;Information Technology;1.02;99
MSI;140.49;Information Technology;1.82;61
MSM;70.59;Industrials;4.25;84
MTB;105.14;Financials;4.18;99
MWA;8.88;Industrials;2.36;63
MXIM;60.19;Information Technology;3.19;62
NBTB;29.72;Financials;3.63;84
NDAQ;118.69;Financials;1.65;61
NDSN;186.73;Industrials;0.81;94
NEE;239.16;Utilities;2.34;99
NEU;389.46;Materials;1.95;74
NFG;40;Utilities;4.45;95
NJR;31.03;Utilities;4.03;74
NKE;101.4;Consumer Discretionary;0.97;99
NLOK;19.53;Information Technology;2.56;69
NOC;301.75;Industrials;1.92;80
NPK;82.85;Industrials;1.21;95
NSC;171.68;Industrials;2.19;86
NSRGY;111.07;Consumer Staples;2.1;99
NTAP;41.83;Information Technology;4.59;70
NTRS;78.44;Financials;3.57;85
NUE;41.42;Materials;3.89;90
NVDA;379.6;Information Technology;0.17;89
NVO;67.25;Healthcare;1.31;99
NVS;89.6;Healthcare;2.24;61
NWE;52.24;Utilities;4.59;61
NWN;53.89;Utilities;3.54;61
NYT;42.42;Communications;0.57;70
O;59.57;Real Estate;4.7;70
ODFL;163.01;Industrials;0.37;81
OGE;30.06;Utilities;5.16;79
OMC;52.8;Communications;4.92;86
ORCL;54.53;Information Technology;1.76;99
ORI;16.14;Financials;5.2;73
OSK;70.08;Industrials;1.71;61
OTTR;37.82;Utilities;3.91;66
PAYX;73.05;Information Technology;3.39;61
PB;57.23;Financials;3.22;92
PBA;24.57;Energy;7.6;80
PBCT;11.45;Financials;6.29;79
PCAR;73.25;Industrials;1.75;81
PEG;47.97;Utilities;4.09;99
PEP;131.41;Consumer Staples;3.11;93
PFE;32.32;Healthcare;4.7;75
PFG;40;Financials;5.6;72
PG;117.89;Consumer Staples;2.68;99
PH;176.62;Industrials;1.99;94
PHG;46.97;Healthcare;1.74;84
PHM;32.58;Consumer Discretionary;1.47;78
PKG;95.93;Materials;3.29;63
PKI;95.93;Healthcare;0.29;87
PLD;91.47;Real Estate;2.54;61
PM;70.67;Consumer Staples;6.62;64
PNR;36.44;Industrials;2.09;89
PNW;71.36;Utilities;4.39;92
POOL;263.91;Consumer Discretionary;0.88;69
POR;41.24;Utilities;3.73;73
POWI;121.44;Information Technology;0.69;82
PPG;102.77;Materials;1.99;93
PPL;25.59;Utilities;6.49;75
PRGO;54.73;Healthcare;1.64;89
PRU;60.45;Financials;7.28;75
PSA;191.03;Real Estate;4.19;96
PSB;130.02;Real Estate;3.23;72
PSX;70.07;Energy;5.14;65
QTS;65.06;Real Estate;2.89;61
RBC;83.12;Industrials;1.44;96
RCI;40.57;Communications;3.48;71
RE;207.27;Financials;2.99;85
RELX;23.66;Industrials;2.36;67
REXR;40.41;Real Estate;2.13;81
RGA;77.9;Financials;3.59;99
RGLD;119.13;Materials;0.94;65
RHHBY;44.72;Healthcare;1.61;99
RHI;50.34;Industrials;2.7;96
RJF;70.07;Financials;2.11;99
RLI;81.89;Financials;1.17;82
RMD;186.3;Healthcare;0.84;70
RNR;175.37;Financials;0.8;99
ROK;208.2;Industrials;1.96;70
ROL;41.75;Industrials;0.77;83
ROP;393.35;Industrials;0.52;98
RPM;74.05;Materials;1.94;64
RS;92.89;Materials;2.69;73
RSG;80.14;Industrials;2.02;68
RY;68.28;Financials;4.59;80
SAL;41.98;Financials;2.76;67
SAP;137.66;Information Technology;0.91;99
SAPIF;23.7334;Consumer Staples;2.12;99
SBUX;73.85;Consumer Discretionary;2.22;67
SCHW;34.08;Financials;2.11;99
SCI;39.2;Consumer Discretionary;1.94;76
SCL;91.25;Materials;1.21;99
SEIC;54.28;Financials;1.29;99
SHW;573.21;Materials;0.94;87
SIEGY;57.8865;Industrials;2.7;69
SIRI;5.82;Communications;0.91;61
SJI;23.85;Utilities;4.95;75
SJM;105.74;Consumer Staples;3.33;96
SJW;59.59;Utilities;2.15;99
SLF;36.19;Financials;4.33;89
SLGN;31.27;Materials;1.47;63
SNA;131.69;Industrials;3.28;99
SNDR;23.53;Industrials;1.1;65
SNE;71;Consumer Discretionary;0.43;98
SNN;37.67;Healthcare;1.94;99
SNY;51.86;Healthcare;2.26;90
SO;51.25;Utilities;5;65
SON;50.56;Materials;3.4;69
SPGI;327.82;Financials;0.82;99
SR;63.96;Utilities;3.89;68
SRCE;34.73;Financials;3.22;96
SRE;117.32;Utilities;3.56;79
SSB;47.28;Financials;3.98;95
STE;149.15;Healthcare;0.99;88
STL;11.46;Financials;2.44;81
SUI;140.37;Real Estate;2.25;90
SWK;135.59;Industrials;2.04;90
SWKS;127.3;Information Technology;1.38;68
SWX;65.37;Utilities;3.49;91
SXT;50.65;Materials;3.08;86
SYBT;38.73;Financials;2.79;91
T;29.72;Communications;7;65
TD;44.74;Financials;5.13;80
TECH;258.27;Healthcare;0.5;88
TEL;78.98;Information Technology;2.43;86
TER;84.83;Information Technology;0.47;74
TFX;354.96;Healthcare;0.38;90
TGT;119.81;Consumer Discretionary;2.27;74
THG;99.26;Financials;2.62;66
THO;109.75;Consumer Discretionary;1.46;65
TMO;351.76;Healthcare;0.25;72
TMP;61.83;Financials;3.36;86
TNC;63.3;Industrials;1.39;71
TR;33.41;Consumer Staples;1.05;99
TRMK;23.56;Financials;3.9;85
TROW;122.53;Financials;2.94;94
TRP;42.91;Energy;5.42;61
TRV;114.62;Financials;2.97;78
TSCO;130.82;Consumer Discretionary;1.07;68
TSM;57.04;Information Technology;2.32;62
TSN;59.87;Consumer Staples;2.81;99
TT;85.8;Industrials;2.47;70
TTC;65.27;Industrials;1.53;84
TU;16.89;Communications;4.88;72
TXN;125.06;Information Technology;2.88;90
UBSI;27.03;Financials;5.18;79
UDR;36.79;Real Estate;3.91;71
UFPI;47.31;Industrials;1.06;97
UGI;31.28;Utilities;4.22;99
UHT;77.2;Real Estate;3.58;65
UI;168.87;Information Technology;0.71;68
UL;56.52;Consumer Staples;3.16;75
UMBF;50.12;Financials;2.47;96
UN;54.83;Consumer Staples;2.94;74
UNF;173.98;Industrials;0.57;99
UNH;296.22;Healthcare;1.69;99
UNP;167.02;Industrials;2.32;88
UPS;110.52;Industrials;3.66;69
UVE;17.2;Financials;3.72;61
UVSP;15.115;Financials;5.29;87
UVV;40.75;Consumer Staples;7.56;75
V;193.98;Information Technology;0.62;99
VMI;106.82;Industrials;1.69;93
VZ;54.28;Communications;4.53;87
WAB;58.08;Industrials;0.83;99
WASH;32.72;Financials;6.23;76
WBA;42.04;Consumer Staples;4.35;79
WCN;91.26;Industrials;0.78;80
WDFC;194.88;Consumer Staples;1.38;75
WEC;85.21;Utilities;2.97;87
WHR;124.3;Consumer Discretionary;3.86;70
WLK;53.88;Materials;1.95;91
WM;102.39;Industrials;2.13;74
WMT;119.71;Consumer Staples;1.8;78
WPC;68.77;Real Estate;6.06;73
WRB;56.98;Financials;0.84;98
WSFS;26.95;Financials;1.78;94
WST;223.36;Healthcare;0.29;99
WTRG;40.74;Utilities;2.3;93
WTS;79.34;Industrials;1.16;98
XEL;62.9;Utilities;2.73;79
XLNX;93.29;Information Technology;1.63;83
XYL;62.16;Industrials;1.67;66
YORW;47.3;Utilities;1.52;80
ZION;34.25;Financials;3.97;62
ZTS;135.31;Healthcare;0.59;74
